Customer ID,Customer Name,Segment
TB-112803,Toby Braunhardt,Consumer
JH-159857,Joseph Holt,Consumer
AT-73557,Annie Thurman,Consumer
EM-14140124,Eugene Moren,Home Office
MM-726023,Magdelene Morse,Consumer
KN-164507,Kean Nguyen,Corporate
KL-1664592,Ken Lonsdale,Consumer
LW-699061,Lindsay Williams,Corporate
LB-16735102,Larry Blacks,Consumer
DD-13570139,Dorothy Dickinson,Consumer
DP-1339078,Dennis Pardue,Home Office
SV-2078551,Stewart Visinsky,Consumer
JO-528060,Jas O'Carroll,Consumer
CM-12235130,Chris McAfee,Consumer
NG-835560,Nat Gilpin,Corporate
JG-5115129,Jack Garza,Consumer
RA-1991518,Russell Applegate,Consumer
MH-1778582,Maya Herman,Corporate
DP-130001402,Darren Powers,Consumer
BT-1130531,Beth Thompson,Home Office
AP-1091545,Arthur Prichep,Consumer
BT-1130518,Beth Thompson,Home Office
AW-1093031,Arthur Wiediger,Home Office
GT-14635139,Grant Thornton,Corporate
JC-5340122,Jasper Cacioppo,Consumer
BD-1150066,Bradley Drucker,Consumer
JH-1543082,Jennifer Halladay,Consumer
MG-1789045,Michael Granlund,Home Office
SW-20455127,Shaun Weien,Consumer
PO-191951402,Phillina Ober,Home Office
SH-2039545,Shahid Hopkins,Consumer
BH-1171059,Brosina Hoffman,Consumer
RD-19660144,Robert Dilbeck,Home Office
MB-180851406,Mick Brown,Consumer
GK-46204,Grace Kelly,Corporate
KM-1666027,Khloe Miller,Consumer
SV-1078587,Stewart Visinsky,Consumer
MS-17365102,Maribeth Schnelling,Consumer
DP-1310545,Dave Poirier,Corporate
HM-486071,Harry Marie,Corporate
JO-151451408,Jack O'Briant,Corporate
AC-4203,Alyssa Crouse,Corporate
DD-1357018,Dorothy Dickinson,Consumer
LS-172301404,Lycoris Saunders,Consumer
ME-173201408,Maria Etezadi,Home Office
AB-10060113,Adam Bellavance,Home Office
JS-1603091,Joy Smith,Consumer
HZ-49504,Henia Zydlo,Consumer
NF-1859527,Nicole Fjeld,Home Office
DP-1300045,Darren Powers,Consumer
CM-1238551,Christopher Martinez,Consumer
JE-571595,Joe Elijah,Consumer
VS-218201402,Vivek Sundaresam,Consumer
EB-1370559,Ed Braxton,Corporate
AG-10270144,Alejandro Grove,Consumer
SC-20050102,Sample Company A,Home Office
DL-128657,Dan Lawera,Consumer
ER-385557,Elpida Rittenbach,Corporate
SJ-1012538,Sanjit Jacobs,Home Office
TH-112353,Tiffany House,Corporate
JR-15700143,Jocasta Rupert,Consumer
GG-14650139,Greg Guthrie,Corporate
PM-1894082,Paul MacIntyre,Consumer
PO-1886527,Patrick O'Donnell,Consumer
MS-178301402,Melanie Seite,Consumer
BD-11605130,Brian Dahlen,Consumer
RS-9420117,Ricardo Sperren,Corporate
RC-19825139,Roy Collins,Consumer
PF-1916582,Philip Fox,Consumer
AJ-107801408,Anthony Jacobs,Corporate
DF-1313559,David Flashing,Consumer
SC-20680102,Steve Carroll,Home Office
